ds,viajes
2020-02-14 00:00:00,1436710.125
2020-02-14 01:00:00,1043504.0625
2020-02-14 02:00:00,867363.9375
2020-02-14 03:00:00,924919.1875
2020-02-14 04:00:00,1255543.625
2020-02-14 05:00:00,2194148.25
2020-02-14 06:00:00,3347933.25
2020-02-14 07:00:00,5260125.5
2020-02-14 08:00:00,5529136.5
2020-02-14 09:00:00,4651062.5
2020-02-14 10:00:00,4317254.5
2020-02-14 11:00:00,4507676.5
2020-02-14 12:00:00,5051425.5
2020-02-14 13:00:00,6039000.0
2020-02-14 14:00:00,6699344.0
2020-02-14 15:00:00,5897163.5
2020-02-14 16:00:00,5417395.0
2020-02-14 17:00:00,5490805.0
2020-02-14 18:00:00,5519893.5
2020-02-14 19:00:00,5449345.5
2020-02-14 20:00:00,5032689.5
2020-02-14 21:00:00,4207881.5
2020-02-14 22:00:00,3272938.5
2020-02-14 23:00:00,2021436.375
2020-02-15 00:00:00,2140768.0
2020-02-15 01:00:00,1516567.875
2020-02-15 02:00:00,1121102.375
2020-02-15 03:00:00,1045622.9375
2020-02-15 04:00:00,960675.3125
2020-02-15 05:00:00,1241989.5
2020-02-15 06:00:00,1591096.5
2020-02-15 07:00:00,2153882.75
2020-02-15 08:00:00,2749379.5
2020-02-15 09:00:00,3408053.75
2020-02-15 10:00:00,3901613.75
2020-02-15 11:00:00,4414306.0
2020-02-15 12:00:00,4826996.0
2020-02-15 13:00:00,5182802.5
2020-02-15 14:00:00,4667682.0
2020-02-15 15:00:00,4067902.75
2020-02-15 16:00:00,4227682.0
2020-02-15 17:00:00,4447301.0
2020-02-15 18:00:00,4695383.5
2020-02-15 19:00:00,4720381.0
2020-02-15 20:00:00,4501922.5
2020-02-15 21:00:00,3910717.5
2020-02-15 22:00:00,3110029.75
2020-02-15 23:00:00,2036610.0
2020-02-16 00:00:00,2227572.75
2020-02-16 01:00:00,1632648.625
2020-02-16 02:00:00,1222996.75
2020-02-16 03:00:00,1002636.875
2020-02-16 04:00:00,935268.6875
2020-02-16 05:00:00,1018135.375
2020-02-16 06:00:00,1215006.375
2020-02-16 07:00:00,1514814.125
2020-02-16 08:00:00,1961751.875
2020-02-16 09:00:00,2548175.5
2020-02-16 10:00:00,3254547.75
2020-02-16 11:00:00,3881019.25
2020-02-16 12:00:00,4314211.5
2020-02-16 13:00:00,4560542.0
2020-02-16 14:00:00,4010165.5
2020-02-16 15:00:00,3688227.75
2020-02-16 16:00:00,4044519.0
2020-02-16 17:00:00,4259379.0
2020-02-16 18:00:00,4274514.5
2020-02-16 19:00:00,4041408.75
2020-02-16 20:00:00,3493495.75
2020-02-16 21:00:00,2865691.75
2020-02-16 22:00:00,2314126.25
2020-02-16 23:00:00,1408746.125
2020-02-17 00:00:00,1270921.625
2020-02-17 01:00:00,975038.5625
2020-02-17 02:00:00,830015.625
2020-02-17 03:00:00,907188.5625
2020-02-17 04:00:00,1241466.5
2020-02-17 05:00:00,2113557.25
2020-02-17 06:00:00,3319442.5
2020-02-17 07:00:00,5335219.5
2020-02-17 08:00:00,5544524.5
2020-02-17 09:00:00,4607094.5
2020-02-17 10:00:00,4163880.25
2020-02-17 11:00:00,4295146.0
2020-02-17 12:00:00,4742615.0
2020-02-17 13:00:00,5571184.0
2020-02-17 14:00:00,6116108.0
2020-02-17 15:00:00,5473906.5
2020-02-17 16:00:00,5103878.5
2020-02-17 17:00:00,5377280.5
2020-02-17 18:00:00,5598606.5
2020-02-17 19:00:00,5155221.0
2020-02-17 20:00:00,4375999.5
2020-02-17 21:00:00,3417202.0
2020-02-17 22:00:00,2506749.0
2020-02-17 23:00:00,1335552.0
2020-02-18 00:00:00,1245616.0
2020-02-18 01:00:00,973066.4375
2020-02-18 02:00:00,856536.4375
2020-02-18 03:00:00,920773.8125
2020-02-18 04:00:00,1292475.25
2020-02-18 05:00:00,2163881.75
2020-02-18 06:00:00,3380114.75
2020-02-18 07:00:00,5370069.0
2020-02-18 08:00:00,5617184.0
2020-02-18 09:00:00,4690071.0
2020-02-18 10:00:00,4196636.0
2020-02-18 11:00:00,4339070.0
2020-02-18 12:00:00,4806885.5
2020-02-18 13:00:00,5711900.5
2020-02-18 14:00:00,6190833.0
2020-02-18 15:00:00,5525055.5
2020-02-18 16:00:00,5165555.5
2020-02-18 17:00:00,5482653.5
2020-02-18 18:00:00,5627003.5
2020-02-18 19:00:00,5265419.5
2020-02-18 20:00:00,4504176.0
2020-02-18 21:00:00,3497629.75
2020-02-18 22:00:00,2610913.5
2020-02-18 23:00:00,1463662.0
2020-02-19 00:00:00,1274393.0
2020-02-19 01:00:00,974649.3125
2020-02-19 02:00:00,855711.0625
2020-02-19 03:00:00,919134.25
2020-02-19 04:00:00,1282948.0
2020-02-19 05:00:00,2158015.5
2020-02-19 06:00:00,3362344.0
2020-02-19 07:00:00,5342375.5
2020-02-19 08:00:00,5580711.5
2020-02-19 09:00:00,4668689.0
2020-02-19 10:00:00,4195599.5
2020-02-19 11:00:00,4350163.5
2020-02-19 12:00:00,4857362.5
2020-02-19 13:00:00,5720788.5
2020-02-19 14:00:00,6184776.0
2020-02-19 15:00:00,5548540.0
2020-02-19 16:00:00,5214734.0
2020-02-19 17:00:00,5449653.0
2020-02-19 18:00:00,5693384.0
2020-02-19 19:00:00,5359958.0
2020-02-19 20:00:00,4597164.0
2020-02-19 21:00:00,3617724.5
2020-02-19 22:00:00,2688482.25
2020-02-19 23:00:00,1469528.25
2020-02-20 00:00:00,1331626.75
2020-02-20 01:00:00,977322.375
2020-02-20 02:00:00,846460.0
2020-02-20 03:00:00,921703.75
2020-02-20 04:00:00,1299787.5
2020-02-20 05:00:00,2171410.75
2020-02-20 06:00:00,3387234.0
2020-02-20 07:00:00,5389153.5
2020-02-20 08:00:00,5640619.5
2020-02-20 09:00:00,4728165.0
2020-02-20 10:00:00,4276695.0
2020-02-20 11:00:00,4465574.5
2020-02-20 12:00:00,4906521.0
2020-02-20 13:00:00,5784444.0
2020-02-20 14:00:00,6291045.0
2020-02-20 15:00:00,5593882.5
2020-02-20 16:00:00,5314155.5
2020-02-20 17:00:00,5557528.5
2020-02-20 18:00:00,5781005.0
2020-02-20 19:00:00,5459875.5
2020-02-20 20:00:00,4683919.5
2020-02-20 21:00:00,3719630.5
2020-02-20 22:00:00,2768437.75
2020-02-20 23:00:00,1531823.5
2020-02-21 00:00:00,1409117.25
2020-02-21 01:00:00,1029957.75
2020-02-21 02:00:00,889726.5625
2020-02-21 03:00:00,930813.5625
2020-02-21 04:00:00,1278375.5
2020-02-21 05:00:00,2095053.5
2020-02-21 06:00:00,3244578.0
2020-02-21 07:00:00,5092997.0
2020-02-21 08:00:00,5298877.5
2020-02-21 09:00:00,4556601.0
2020-02-21 10:00:00,4265759.5
2020-02-21 11:00:00,4468289.0
2020-02-21 12:00:00,4975692.0
2020-02-21 13:00:00,5922357.5
2020-02-21 14:00:00,6533703.5
2020-02-21 15:00:00,5686938.5
2020-02-21 16:00:00,5235981.0
2020-02-21 17:00:00,5313172.0
2020-02-21 18:00:00,5347511.0
2020-02-21 19:00:00,5275017.5
2020-02-21 20:00:00,4805572.0
2020-02-21 21:00:00,3970294.25
2020-02-21 22:00:00,3118040.25
2020-02-21 23:00:00,1885198.375
2020-02-22 00:00:00,1942061.75
2020-02-22 01:00:00,1386584.25
2020-02-22 02:00:00,1030481.375
2020-02-22 03:00:00,887367.0625
2020-02-22 04:00:00,925466.9375
2020-02-22 05:00:00,1228392.625
2020-02-22 06:00:00,1614293.375
2020-02-22 07:00:00,2163652.0
2020-02-22 08:00:00,2749610.25
2020-02-22 09:00:00,3372728.75
2020-02-22 10:00:00,3847599.25
2020-02-22 11:00:00,4291796.0
2020-02-22 12:00:00,4672320.0
2020-02-22 13:00:00,4972729.0
2020-02-22 14:00:00,4453828.5
2020-02-22 15:00:00,3906744.75
2020-02-22 16:00:00,4037801.25
2020-02-22 17:00:00,4254953.0
2020-02-22 18:00:00,4422855.5
2020-02-22 19:00:00,4485588.5
2020-02-22 20:00:00,4254686.0
2020-02-22 21:00:00,3710798.0
2020-02-22 22:00:00,3058917.5
2020-02-22 23:00:00,2034513.25
2020-02-23 00:00:00,2160350.75
2020-02-23 01:00:00,1557370.625
2020-02-23 02:00:00,1186212.75
2020-02-23 03:00:00,1007154.875
2020-02-23 04:00:00,969334.4375
2020-02-23 05:00:00,1082300.25
2020-02-23 06:00:00,1264407.625
2020-02-23 07:00:00,1551059.875
2020-02-23 08:00:00,1949202.0
2020-02-23 09:00:00,2522409.0
2020-02-23 10:00:00,3211779.5
2020-02-23 11:00:00,3811601.25
2020-02-23 12:00:00,4207896.0
2020-02-23 13:00:00,4446882.0
2020-02-23 14:00:00,3885252.75
2020-02-23 15:00:00,3582210.25
2020-02-23 16:00:00,3982894.5
2020-02-23 17:00:00,4191029.0
2020-02-23 18:00:00,4192777.75
2020-02-23 19:00:00,4080989.75
2020-02-23 20:00:00,3549399.5
2020-02-23 21:00:00,2936694.75
2020-02-23 22:00:00,2345678.25
2020-02-23 23:00:00,1400725.25
2020-02-24 00:00:00,1294004.875
2020-02-24 01:00:00,962296.25
2020-02-24 02:00:00,811488.6875
2020-02-24 03:00:00,872200.875
2020-02-24 04:00:00,1217918.5
2020-02-24 05:00:00,2026089.625
2020-02-24 06:00:00,3125221.25
2020-02-24 07:00:00,4814514.5
2020-02-24 08:00:00,4913862.5
2020-02-24 09:00:00,4308622.5
2020-02-24 10:00:00,4077663.0
2020-02-24 11:00:00,4256366.5
2020-02-24 12:00:00,4673444.0
2020-02-24 13:00:00,5430006.5
2020-02-24 14:00:00,5689514.0
2020-02-24 15:00:00,5185854.0
2020-02-24 16:00:00,4961481.5
2020-02-24 17:00:00,5253329.0
2020-02-24 18:00:00,5491896.5
2020-02-24 19:00:00,5147766.5
2020-02-24 20:00:00,4359193.0
2020-02-24 21:00:00,3430185.0
2020-02-24 22:00:00,2557448.25
2020-02-24 23:00:00,1384693.5
2020-02-25 00:00:00,1299896.75
2020-02-25 01:00:00,981731.1875
2020-02-25 02:00:00,867217.1875
2020-02-25 03:00:00,930384.9375
2020-02-25 04:00:00,1288680.25
2020-02-25 05:00:00,2101550.75
2020-02-25 06:00:00,3239971.75
2020-02-25 07:00:00,4909186.0
2020-02-25 08:00:00,4963375.0
2020-02-25 09:00:00,4297724.0
2020-02-25 10:00:00,3997815.5
2020-02-25 11:00:00,4194811.0
2020-02-25 12:00:00,4664809.0
2020-02-25 13:00:00,5462240.5
2020-02-25 14:00:00,5728276.5
2020-02-25 15:00:00,5165935.5
2020-02-25 16:00:00,4962451.0
2020-02-25 17:00:00,5261425.0
2020-02-25 18:00:00,5445038.0
2020-02-25 19:00:00,5095070.0
2020-02-25 20:00:00,4386095.0
2020-02-25 21:00:00,3405241.75
